trade_index,datetime_utc,victim_size_usd,front_run_size_usd,victim_cost_baseline,victim_cost_actual,front_run_shares,back_run_revenue,attacker_profit,shares_lost,expected_value_lost,price_before,price_after_frontrun,price_after_victim,price_after_backrun,market,b,front_run_multiplier,min_victim_size_usd,price_impact
303,2025-06-23 01:34:19+00:00,1000.0,2000.0,1000.0,1000.0,1999.9999999999927,2000.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,100.0,0.0
304,2025-06-23 01:34:19+00:00,1000.0,2000.0,1000.0,1000.0,1999.9999999999927,2000.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,100.0,0.0
305,2025-06-23 01:40:33+00:00,1000.0,2000.0,1000.0,1000.0,1999.9999999999927,2000.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,100.0,0.0
306,2025-06-23 01:46:23+00:00,1000.0,2000.0,1000.0,1000.0,1999.9999999999927,2000.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,100.0,0.0
307,2025-06-23 01:46:23+00:00,1000.0,2000.0,1000.0,1000.0,1999.9999999999927,2000.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,100.0,0.0
308,2025-06-23 01:46:25+00:00,200.0,400.0,200.0,200.0,399.9999999999927,400.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,100.0,0.0
309,2025-06-23 01:46:25+00:00,1000.0,2000.0,1000.0,1000.0,1999.9999999999927,2000.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,100.0,0.0
310,2025-06-23 01:46:29+00:00,1220.0,2440.0,1220.0,1220.0,2439.9999999999927,2440.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,100.0,0.0
313,2025-06-23 01:50:25+00:00,500.0,1000.0,500.0,500.0,999.9999999999927,1000.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,100.0,0.0
315,2025-06-23 02:01:33+00:00,125.0,250.0,125.0,125.0,249.99999999999272,250.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,100.0,0.0
316,2025-06-23 02:12:17+00:00,100.0,200.0,100.0,100.0,199.99999999999272,200.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,100.0,0.0
317,2025-06-23 02:25:17+00:00,2888.571427,5777.142854000005,2888.571426999988,2888.571426999988,5777.142853999991,5777.142853999976,-2.9103830456733704e-11,-7.275957614183426e-12,-7.275957614183426e-12,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,100.0,0.0
318,2025-06-23 02:29:21+00:00,1271.666665,2543.333329999994,1271.666664999997,1271.6666650000261,2543.333330000023,2543.333330000023,2.9103830456733704e-11,7.275957614183426e-12,7.275957614183426e-12,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,100.0,0.0
27,2025-06-02 08:19:24+00:00,1000.0,2000.0,999.9999999999999,999.9999999999995,2214.570528894101,2179.559761818925,179.55976181892493,190.52213198369623,123.24056514247391,0.6468569496850902,0.993531959414366,0.9991246458953573,0.9315575846314694,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.3466750097292758
48,2025-06-02 19:52:37+00:00,3887.01,7774.0199999999995,3887.01,3887.01,7782.739659273857,7782.735960342062,8.715960342062317,8.716024263041618,8.565340443532655,0.9827118632347199,0.9999999969428257,0.9999999999987144,0.9999926021624848,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.01728813370810578
49,2025-06-03 02:37:14+00:00,1247.44,2494.88,1247.4399999999996,1247.4400000000005,2494.8836737527936,2494.8833706438318,0.0033706438316585263,0.003370645890299784,0.0033706209548091657,0.9999926021624848,0.9999999496407151,0.9999999958450392,0.9999993896273025,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,7.347478230390614e-06
50,2025-06-03 11:16:40+00:00,762.5,1525.000000000001,762.5,762.4999999999982,1525.0002907331436,1525.0002274634744,0.0002274634734931169,0.00022746350578017882,0.0002274633669426652,0.9999993896273025,0.9999999710934055,0.9999999937093162,0.999999867169988,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,5.814661030445478e-07
51,2025-06-03 18:46:22+00:00,625.0,1250.000000000001,624.9999999999991,625.0,1250.0000609633344,1250.000043497048,4.3497047045093495e-05,4.34970479545882e-05,4.349704217687479e-05,0.999999867169988,0.9999999890966486,0.9999999968761375,0.999999961943561,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,1.2192666054566814e-07
54,2025-06-04 09:06:47+00:00,312.4375,624.8749999999982,312.4375,312.4375,624.8750086657465,624.8750040267241,4.026725946459919e-06,4.026725946459919e-06,4.026725848636997e-06,0.9999999757065857,0.9999999930380801,0.999999996273087,0.9999999869950469,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,1.7331494350791843e-08
57,2025-06-05 13:12:59+00:00,332.0,663.9999999999982,332.0,331.9999999999982,664.0000032968101,664.000001599652,1.5996538422768936e-06,1.5996538422768936e-06,1.5996538279264016e-06,0.9999999910290017,0.9999999976226248,0.9999999987761556,0.999999995381837,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,6.593623091966094e-09
59,2025-06-05 19:51:34+00:00,249.0,498.0,249.0,248.99999999999818,498.00000141789405,498.000000556176,5.561760190175846e-07,5.561760190175846e-07,5.561760165166617e-07,0.9999999955033607,0.9999999983391488,0.9999999989906261,0.9999999972671902,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,2.835788048827226e-09
60,2025-06-05 22:42:21+00:00,6358.60375,12717.207500000002,6358.603749999997,6358.603749999998,12717.207501366407,12717.207501366402,1.3663993740919977e-06,1.3663993740919977e-06,1.3663993703578881e-06,0.9999999972671902,1.0,1.0,0.9999999999999918,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,2.7328097562673292e-09
61,2025-06-05 23:43:16+00:00,1256.19,2512.379999999999,1256.1899999999969,1256.1900000000023,2512.3800000000065,2512.3800000000047,5.4569682106375694e-12,3.637978807091713e-12,3.637978807091683e-12,0.9999999999999918,1.0,1.0,0.9999999999999993,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,8.215650382226158e-15
63,2025-06-06 00:17:38+00:00,600.0,1200.0,600.0,600.0,1199.9999999999982,1200.0,0.0,0.0,0.0,0.9999999999999993,1.0,1.0,0.9999999999999998,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,6.661338147750939e-16
64,2025-06-06 00:18:00+00:00,466.72,933.4400000000023,466.72000000000116,466.72000000000116,933.4400000000005,933.4400000000023,0.0,0.0,0.0,0.9999999999999998,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,2.220446049250313e-16
66,2025-06-06 03:05:26+00:00,525.45,1050.9000000000015,525.4499999999971,525.4499999999971,1050.8999999999996,1050.9000000000015,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
67,2025-06-06 03:26:16+00:00,500.0,1000.0,500.0,500.0,999.9999999999982,1000.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
69,2025-06-06 03:29:54+00:00,326.53846,653.0769199999995,326.5384600000034,326.5384600000034,653.0769200000013,653.0769199999995,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
70,2025-06-06 03:33:54+00:00,8100.0,16200.0,8100.0,8100.0,16199.999999999996,16199.999999999996,-3.637978807091713e-12,1.8189894035458565e-12,1.8189894035458565e-12,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
71,2025-06-06 03:34:18+00:00,368.0,735.9999999999964,367.99999999999636,368.0,735.9999999999982,736.0,3.637978807091713e-12,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
72,2025-06-06 03:34:28+00:00,500.0,1000.0,500.0,500.0,999.9999999999982,1000.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
75,2025-06-06 07:24:32+00:00,337.769229,675.5384580000027,337.7692289999977,337.7692289999977,675.5384580000009,675.5384580000027,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
84,2025-06-07 23:01:10+00:00,229.0,458.0,229.0,229.0,457.9999999999982,458.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
89,2025-06-08 22:46:30+00:00,2500.0,4999.999999999993,2499.9999999999927,2500.0,4999.999999999996,4999.999999999993,0.0,-1.8189894035458565e-12,-1.8189894035458565e-12,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
91,2025-06-09 00:29:06+00:00,372.222221,744.444442,372.22222099999635,372.22222100000363,744.4444419999963,744.4444419999927,-7.275957614183426e-12,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
92,2025-06-09 06:50:45+00:00,350.0,700.0,350.0,350.0,699.9999999999964,700.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
95,2025-06-10 18:37:34+00:00,526.315788,1052.6315759999998,526.3157880000072,526.3157880000072,1052.6315760000034,1052.6315759999998,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
104,2025-06-13 21:22:58+00:00,956.110856,1912.2217119999987,956.1108559999993,956.1108559999993,1912.2217120000023,1912.2217119999987,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
120,2025-06-14 06:55:05+00:00,200.0,400.0,200.0,200.0,399.99999999999636,400.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
125,2025-06-16 16:57:59+00:00,240.0,480.0,240.0,240.0,479.99999999999636,480.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
126,2025-06-16 21:13:32+00:00,1000.0,2000.0,1000.0,1000.0,1999.9999999999964,2000.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
135,2025-06-17 15:47:51+00:00,3664.56,7329.119999999995,3664.5599999999977,3664.5599999999977,7329.119999999999,7329.119999999995,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
