market,b,front_run_multiplier,min_victim_size_usd,attacks_simulated,profitable_attacks,avg_attacker_profit,total_attacker_profit,max_attacker_profit,avg_shares_lost,total_shares_lost,avg_expected_value_lost,total_expected_value_lost,avg_price_impact,max_price_impact
NBA Finals Thunder vs Pacers,1000.0,0.5,200.0,114,24,2.738084976286739,312.14168729668825,205.9043805967534,3.2217840243458675,367.2833787754289,1.9364239085613142,220.75232557598983,0.002669568469485255,0.20249619210765946
NBA Finals Thunder vs Pacers,1000.0,1.0,25.0,219,42,0.9507548983972273,208.21532274899278,238.3538750823261,2.060047385976507,451.1503775288551,1.2868642804062942,281.8232774089784,0.0026830783877716756,0.2806933765635543
NBA Finals Thunder vs Pacers,1000.0,1.0,50.0,187,38,1.9107346913229772,357.30738727739674,272.564703084034,2.6516719581704304,495.86265617787046,1.6045651850021438,300.0536895954009,0.002943088470372917,0.3094504759214398
NBA Finals Thunder vs Pacers,1000.0,1.0,100.0,158,30,2.752841689758563,434.94898698185295,292.58015975255023,3.290299434977959,519.8673107265175,1.9471090022602457,307.6432223571188,0.003272667211881855,0.32531634109601437
NBA Finals Thunder vs Pacers,1000.0,1.0,200.0,114,24,3.7310989738964677,425.34528302419733,292.58015975255023,4.459799778968904,508.41717480245507,2.618837604865611,298.54748695467964,0.003974664094839091,0.32531634109601437
NBA Finals Thunder vs Pacers,1000.0,2.0,25.0,219,42,1.0037349036204204,219.81794389287205,282.7754357199374,2.4725900023246514,541.4972105090986,1.5425017569515094,337.80788477238053,0.00391343913665902,0.36725965773398306
NBA Finals Thunder vs Pacers,1000.0,2.0,50.0,187,38,1.9455420425310797,363.8163619533119,316.9604842236299,3.073862002842015,574.8121945314568,1.8814665732507616,351.8342491978924,0.004050064228376835,0.40264680112754747
NBA Finals Thunder vs Pacers,1000.0,2.0,100.0,158,31,3.327320418933909,525.7166261915577,360.0347142979067,4.031116565505561,636.9164173498788,2.3536317899091346,371.8738228056433,0.00452842910607447,0.44499353486235427
NBA Finals Thunder vs Pacers,1000.0,2.0,200.0,114,24,4.4397639009321015,506.1330847062595,360.0347142979067,5.37961518151658,613.2761306928901,3.1004641901865977,353.45291768127214,0.005136483891675603,0.44499353486235427
NBA Finals Thunder vs Pacers,1000.0,5.0,25.0,219,43,0.6921403200654281,151.57873009432876,283.8922963699533,2.6988949514245055,591.0579943619667,1.7052325484090207,373.44592810157553,0.005920666934944907,0.3899548513970029
NBA Finals Thunder vs Pacers,1000.0,5.0,50.0,187,42,0.9672830290548535,180.8819264332576,290.7948617377815,2.9252047538727473,547.0132889742038,1.8950946622447657,354.3827018397712,0.005122238467256343,0.3981036753058623
NBA Finals Thunder vs Pacers,1000.0,5.0,100.0,158,34,3.702413897341995,584.9813957800352,391.9302493806099,4.514109750966803,713.2293406527549,2.6447379155277804,417.8685906533893,0.005973563302675229,0.5111752375695314
NBA Finals Thunder vs Pacers,1000.0,5.0,200.0,114,28,4.7682049061847085,543.5753593050567,391.9302493806099,5.81486246559363,662.8943210776738,3.325014576089808,379.0516616742381,0.005763799697615164,0.5111752375695314
NFL SEA vs NE,100.0,0.25,25.0,43,3,16.06453288580231,690.7749140894994,690.7749140895157,16.06453288580155,690.7749140894666,0.01606453288466054,0.6907749140404031,0.02323241539376416,0.9989938619318589
NFL SEA vs NE,100.0,0.25,50.0,42,3,16.4470217640357,690.7749140894994,690.7749140895157,16.44702176403492,690.7749140894666,0.01644702176286674,0.6907749140404031,0.023785568141234736,0.9989938619318589
NFL SEA vs NE,100.0,0.25,100.0,42,3,16.4470217640357,690.7749140894994,690.7749140895157,16.44702176403492,690.7749140894666,0.01644702176286674,0.6907749140404031,0.023785568141234736,0.9989938619318589
NFL SEA vs NE,100.0,0.25,200.0,42,3,16.4470217640357,690.7749140894994,690.7749140895157,16.44702176403492,690.7749140894666,0.01644702176286674,0.6907749140404031,0.023785568141234736,0.9989938619318589
NFL SEA vs NE,100.0,0.5,25.0,43,4,16.064547160336197,690.7755278944564,690.7755278944428,16.06454716033646,690.7755278944678,0.016064547160928103,0.6907755279199084,0.02323255813865782,0.9989999999622864
NFL SEA vs NE,100.0,0.5,50.0,42,4,16.44703637843944,690.7755278944564,690.7755278944428,16.44703637843971,690.7755278944678,0.01644703637904544,0.6907755279199084,0.023785714284816344,0.9989999999622864
NFL SEA vs NE,100.0,0.5,100.0,42,4,16.44703637843944,690.7755278944564,690.7755278944428,16.44703637843971,690.7755278944678,0.01644703637904544,0.6907755279199084,0.023785714284816344,0.9989999999622864
NFL SEA vs NE,100.0,0.5,200.0,42,4,16.44703637843944,690.7755278944564,690.7755278944428,16.44703637843971,690.7755278944678,0.01644703637904544,0.6907755279199084,0.023785714284816344,0.9989999999622864
NFL SEA vs NE,100.0,1.0,25.0,43,6,16.064547160423434,690.7755278982077,690.775527898214,16.064547160423583,690.775527898214,0.016064547160402454,0.6907755278973056,0.023232558139534884,0.999
NFL SEA vs NE,100.0,1.0,50.0,42,6,16.447036378528754,690.7755278982077,690.775527898214,16.447036378528907,690.775527898214,0.016447036378507276,0.6907755278973056,0.023785714285714285,0.999
NFL SEA vs NE,100.0,1.0,100.0,42,6,16.447036378528754,690.7755278982077,690.775527898214,16.447036378528907,690.775527898214,0.016447036378507276,0.6907755278973056,0.023785714285714285,0.999
NFL SEA vs NE,100.0,1.0,200.0,42,6,16.447036378528754,690.7755278982077,690.775527898214,16.447036378528907,690.775527898214,0.016447036378507276,0.6907755278973056,0.023785714285714285,0.999
NFL SEA vs NE,100.0,2.0,25.0,43,5,16.064547160423476,690.7755278982095,690.7755278982131,16.064547160424027,690.7755278982331,0.016064547160888887,0.6907755279182222,0.023232558139534884,0.999
NFL SEA vs NE,100.0,2.0,50.0,42,5,16.447036378528797,690.7755278982095,690.7755278982131,16.44703637852936,690.7755278982331,0.01644703637900529,0.6907755279182222,0.023785714285714285,0.999
NFL SEA vs NE,100.0,2.0,100.0,42,5,16.447036378528797,690.7755278982095,690.7755278982131,16.44703637852936,690.7755278982331,0.01644703637900529,0.6907755279182222,0.023785714285714285,0.999
NFL SEA vs NE,100.0,2.0,200.0,42,5,16.447036378528797,690.7755278982095,690.7755278982131,16.44703637852936,690.7755278982331,0.01644703637900529,0.6907755279182222,0.023785714285714285,0.999
NFL SEA vs NE,100.0,5.0,25.0,43,5,16.064547160423096,690.7755278981931,690.7755278982113,16.06454716042367,690.7755278982177,0.01606454716048706,0.6907755279009435,0.023232558139534884,0.999
NFL SEA vs NE,100.0,5.0,50.0,42,5,16.447036378528406,690.7755278981931,690.7755278982113,16.447036378528992,690.7755278982177,0.016447036378593894,0.6907755279009435,0.023785714285714285,0.999
NFL SEA vs NE,100.0,5.0,100.0,42,5,16.447036378528406,690.7755278981931,690.7755278982113,16.447036378528992,690.7755278982177,0.016447036378593894,0.6907755279009435,0.023785714285714285,0.999
